path,slug,title,top_level,suggested_pattern,draft,tags,inbound_links,outbound_links,index_links,verified_at
AI/ABM.md,ai/abm,ABM,AI,technical-mechanism-note,false,AI|ABM|Agent|Agent-Based Modeling|LLM|模拟|多智能体|AgentSociety,1,0,1,
AI/AnyRecon.md,ai/anyrecon,AnyRecon - 视频生成模型辅助大场景三维重建,AI,technical-mechanism-note,false,3D Reconstruction|Video Diffusion Model|Wan2.1|LoRA|3DGS|NeRF|Multi-view|Large-scale Scene,3,0,3,Wed Jul 29 2026 08:00:00 GMT+0800 (China Standard Time)
AI/Classification of AI.md,ai/classification of ai,AI 的分类,AI,technical-mechanism-note,false,AI|GenAI|通识|AI分类|机器学习|深度学习|NLP|计算机视觉,1,5,1,
"AI/GenAI/How AI moves towards the three-dimensional world: generative world model, embodied agent and representation learning.md","ai/genai/how ai moves towards the three-dimensional world: generative world model, embodied agent and representation learning",AI 如何走向三维世界：生成式世界模型、具身智能体与表征学习,AI,technical-mechanism-note,false,RTFM|SIMA|SIMA 2|JEPA|I-JEPA|Energy-Based Model|EBM|空间智能,1,0,1,
AI/GenAI/generative-3d-asset-usability-stack.md,ai/genai/generative-3d-asset-usability-stack,生成式 3D 资产可用性栈,AI,technical-mechanism-note,false,AI|生成式AI|3D|Mesh|计算机图形学,1,0,1,Fri Jul 31 2026 08:00:00 GMT+0800 (China Standard Time)
AI/GenAI/index.md,ai/genai,生成式 AI、世界模型与三维生成,AI,project-resource-hub,false,AI|生成式AI|世界模型|三维生成|索引,2,5,1,
AI/GenAI/生成式AI.md,ai/genai/生成式ai,生成式AI,AI,technical-mechanism-note,false,生成式AI|GenAI|AI|文生图|文生视频|Sora|三维场景生成|World Labs,1,0,1,
AI/GeoAI/autonomous-geoai.md,ai/geoai/autonomous-geoai,Autonomous GeoAI：概念与边界,AI,technical-mechanism-note,false,GeoAI|Autonomous-GeoAI|GIS|Agent|空间智能,3,1,3,Wed Jul 29 2026 08:00:00 GMT+0800 (China Standard Time)
AI/GeoAI/geoai-agent-architecture.md,ai/geoai/geoai-agent-architecture,GeoAI Agent 架构,AI,technical-mechanism-note,false,GeoAI|Agent|GIS|工具调用|工作流|Human-in-the-loop,4,2,3,Wed Jul 29 2026 08:00:00 GMT+0800 (China Standard Time)
AI/GeoAI/geospatial-agent-evaluation.md,ai/geoai/geospatial-agent-evaluation,地理空间智能体评测,AI,technical-mechanism-note,false,GeoAI|Agent|Benchmark|GIS|评测|可靠性,3,1,2,Wed Jul 29 2026 08:00:00 GMT+0800 (China Standard Time)
